Country.of.Origin,Processing.Method,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Moisture,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Total.Cup.Points,Specialty_Grade
Ethiopia,Washed / Wet,2075.0,0,0,0.12,8.67,8.83,8.67,8.75,8.5,8.42,90.58,1
Ethiopia,Washed / Wet,2075.0,0,1,0.12,8.75,8.67,8.5,8.58,8.42,8.42,89.92,1
Guatemala,Washed / Wet,1700.0,0,0,0.0,8.42,8.5,8.42,8.42,8.33,8.42,89.75,1
Ethiopia,Natural / Dry,2000.0,0,2,0.11,8.17,8.58,8.42,8.42,8.5,8.25,89.0,1
Ethiopia,Washed / Wet,2075.0,0,2,0.12,8.25,8.5,8.25,8.5,8.42,8.33,88.83,1
Brazil,Natural / Dry,1310.64,0,1,0.11,8.58,8.42,8.42,8.5,8.25,8.33,88.83,1
Peru,Washed / Wet,1310.64,0,0,0.11,8.42,8.5,8.33,8.5,8.25,8.25,88.75,1
Ethiopia,Washed / Wet,1635.0,0,0,0.03,8.25,8.33,8.5,8.42,8.33,8.5,88.67,1
Ethiopia,Washed / Wet,1635.0,0,0,0.03,8.67,8.67,8.58,8.42,8.33,8.42,88.42,1
Ethiopia,Natural / Dry,1822.5,0,4,0.1,8.08,8.58,8.5,8.5,7.67,8.42,88.25,1
Ethiopia,Natural / Dry,1905.0,0,1,0.1,8.17,8.67,8.25,8.5,7.75,8.17,88.08,1
United States,Washed / Wet,1872.0,0,0,0.0,8.25,8.42,8.17,8.33,8.08,8.17,87.92,1
United States,Washed / Wet,1943.0,0,0,0.0,8.08,8.67,8.33,8.42,8.0,8.08,87.92,1
United States (Hawaii),Washed / Wet,609.6,0,2,0.0,8.33,8.42,8.08,8.25,8.25,8.0,87.92,1
Ethiopia,Washed / Wet,1635.0,0,2,0.05,8.25,8.33,8.5,8.25,8.58,8.75,87.83,1
United States,Washed / Wet,2080.0,0,0,0.0,8.0,8.5,8.58,8.17,8.17,8.0,87.58,1
Indonesia,Washed / Wet,1500.0,0,0,0.03,8.33,8.25,7.83,7.75,8.5,8.42,87.42,1
Ethiopia,Washed / Wet,1310.64,0,2,0.05,8.17,8.33,8.25,8.33,8.42,8.33,87.33,1
China,Washed / Wet,1450.0,0,0,0.1,8.42,8.25,8.08,8.17,7.92,8.0,87.25,1
Ethiopia,Natural / Dry,1850.0,0,8,0.0,8.17,8.17,8.0,8.17,8.08,8.33,87.25,1
United States,Washed / Wet,2019.0,0,0,0.0,8.0,8.25,8.08,8.5,8.25,8.0,87.25,1
Costa Rica,Washed / Wet,1300.0,0,2,0.11,8.08,8.25,8.0,8.17,8.0,8.33,87.17,1
Mexico,Washed / Wet,1320.0,0,0,0.13,8.17,8.25,8.17,8.0,7.83,8.17,87.17,1
United States,Washed / Wet,2112.0,0,0,0.0,8.25,8.33,8.17,8.17,7.83,8.17,87.08,1
Ethiopia,Natural / Dry,1310.64,0,1,0.11,8.42,8.17,7.92,8.17,8.33,8.0,87.08,1
